referenznummer,titel,hauptberuf,firma,vollzeit,verguetungsangabe,festgehalt,gehaltsspanne_von,gehaltsspanne_bis,plz,ort,strasse,veroeffentlicht_am,eintritt_von,entfernung_km,quereinstieg_geeignet
12016-10004827837-S,Lagerhelfer für Spielwaren (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,12.0,,,12681,Berlin,,2026-07-09,2026-07-12,8,False
12016-10004809753-S,Lagerhelfer - unbefristet (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,12681,Berlin,,2026-07-07,2026-07-07,8,False
12016-10004769779-S,Lagerhelfer (m/w/d) Lebensmittel - Sortieren,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,12.95,,,10243,Berlin,,2026-07-01,2026-07-03,1,False
10001-1003224345-S,Lagerhelfer m/w/d im Archiv,"Helfer/in - Lagerwirtschaft, Transport",A.Eastside Private Arbeitsverm ittlung GbR (zertifiziert als  zugelassener Träger nach AZAV),True,STUNDENLOHN,15.0,,,10315,Berlin,Rhinstraße,2026-06-15,2026-07-21,6,
12016-10004893399-S,Lagerhelfer m/w/d - Großhandelgewerbe - Wedding,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.0,,,10407,Berlin,,2026-07-17,2026-07-20,3,False
12016-10004787319-S,Lagerhelfer für Kosmetik (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,11.5,,,12681,Berlin,,2026-07-03,2026-07-03,8,False
10001-1003313585-S,Kommissionierer / Lagerhelfer (m/w/d),"Helfer/in - Papier, Verpackung",Arena Personal Mgmt. GmbH,False,STUNDENLOHN,15.69,,,10623,Berlin,Hardenbergstr.,2026-07-01,2026-07-13,7,True
12016-10004777474-S,Lagerhelfer - Tagesschicht - (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,12681,Berlin,,2026-07-02,2026-07-03,8,False
12016-10004809743-S,Lagerhelfer - Kunststoffbranche (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,12681,Berlin,,2026-07-07,2026-07-08,8,False
12016-10004809741-S,Lagerhelfer(m/w/d)-Urlaubsgeld,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,12.5,,,12681,Berlin,,2026-07-07,2026-07-10,8,False
10001-1003054310-S,Lagerhelfer (m/w/d) -in Spandau,Lager- und Transportarbeiter/in,Maria Ximena Lopez Henao - Job Zentrum,True,KEINE_ANGABEN,,,,10437,Berlin,Eberswalder Straße,2026-05-11,2026-05-11,3,True
12016-10004871258-S,Lagerhelfer m/w/d - Automobilherstellung - Schichtsystem!,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.5,,,10247,Berlin,,2026-07-15,2026-07-19,3,False
12016-10004741277-S,Lagerhelfer (m/w/d) - Unbefristet.,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,14.0,,,12681,Berlin,,2026-06-26,2026-06-29,8,False
12016-10004851789-S,Lagerhelfer (m/w/d) ohne Vorkenntnisse,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,10407,Berlin,,2026-07-13,2026-07-14,3,False
12739-9V01VLZ7349PIR02-S,Lagerhelfer (m/w/d) gesucht,"Helfer/in - Lagerwirtschaft, Transport",ACCURAT Gesellschaft für Personaldienstleistungen mbH,,KEINE_ANGABEN,,,,14532,Kleinmachnow,,2026-07-14,2026-07-14,18,False
12016-10004790461-S,Kommissionierer/Lagerhelfer (m/w/d) - Verpackung,Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10245,Berlin,,2026-07-04,2026-07-04,3,False
12016-10004883096-S,Lagerhelfer (m/w/d) - Spielwaren - Fennpfuhl,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.35,,,10409,Berlin,,2026-07-16,2026-07-20,4,False
12016-10004883071-S,Lagerhelfer - Transport - Arbeit in Vollzeit (m/w/d),Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.0,,,10179,Berlin,,2026-07-16,2026-07-19,1,False
12016-10004797219-S,Lebensmittel - Kommissionierer/Lagerhelfer m/w/d,Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.0,,,10961,Berlin,,2026-07-06,2026-07-07,3,False
14751-272A681-S,Kommissionierer m/w/d / Lagerhelfer m/w/d,"Helfer/in - Lagerwirtschaft, Transport",H 2 Personalmanagement GmbH,True,STUNDENLOHN,15.29,,,14167,Berlin,,2026-07-02,2026-07-02,14,False
12016-10004907942-S,Lagerhelfer(m/w/d)-Festanstellung - Berlin,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,12681,Berlin,,2026-07-20,2026-07-24,8,False
12016-10004757196-S,Lagerhelfer / Produktionshelfer m/w/d,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,1900.0,,,13403,Berlin,,2026-06-30,2026-07-01,10,False
12016-10004913736-S,Lagerhelfer m/w/d im Lager / Logistik,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,19.55,,,10587,Berlin,,2026-07-21,2026-07-25,7,False
12016-10004749377-S,Lagerhelfer m/w/d - Lebensmittelladen - Unbefristet,Helfer/in - Lebensmittelherstellung,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10245,Berlin,,2026-06-29,2026-07-03,3,False
12016-10004875526-S,Lagerhelfer m/w/d Zentrum Berlins,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,JAHRESGEHALT,2900.0,,,10365,Berlin,,2026-07-15,2026-07-16,5,False
10001-1003356666-S,Lagerhelfer (m/w/d) für den Wareneingang,"Helfer/in - Lagerwirtschaft, Transport",CEVA Logistics CFS Fulfilment GmbH,True,STUNDENLOHN,14.96,,,14979,Großbeeren,Märkische Allee,2026-07-09,2026-09-01,17,True
12016-10004907939-S,Lagerhelfer(m/w/d)-keine Wochenarbeit,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,12.95,,,12681,Berlin,,2026-07-20,2026-07-24,8,False
